species_code,h1,h2,h3,h4,h5,family,genus,species
AS,0.0994,4.9767,0,0,0,Salicaceae,Populus,tremuloides
BM,0.0994,4.9767,0,0,0,Aceraceae,Acer,macrophyllum
CH,0.0994,4.9767,0,0,0,Pinaceae,Prunus,emarginata
DF,7.1391,4.2891,-0.715,0.275,2.0393,Pinaceae,Pseudotsuga,menziesii
DG,0.0994,4.9767,0,0,0,Cornaceae,Cornus,nuttallii
GC,0.0994,4.9767,0,0,0,Fagaceae,Chrysolepis,chrysophylla
HT,0.0994,4.9767,0,0,0,Rosaceae,Crataegus,NA
KP,1.5907,0.304,0,0,0,Pinaceae,Pinus,attenuata
OT,0.0994,4.9767,0,0,0,NA,NA,NA
PB,0.0994,4.9767,0,0,0,Betulaceae,Betula,papyrifera
RA,0.0994,4.9767,0,0,0,Betulaceae,Alnus,rubra
RC,2.3115,0.237,-0.0556,0,0.3218,Cupressaceae,Thuja,plicata
WA,0.0994,4.9767,0,0,0,Betulaceae,Alnus,rhombifolia
WB,1.5907,0.304,0,0,0,Pinaceae,Pinus,albicaulis
WH,1.3608,0.6151,0,-0.0442,0.0829,Pinaceae,Tsuga,heterophylla
WI,0.0994,4.9767,0,0,0,Salicaceae,Salix,Salix
WJ,0.0994,4.9767,0,0,0,Pinaceae,Juniperus,occidentalis
WO,0.0994,4.9767,0,0,0,Fagaceae,Quercus,garryana
